,Year,Value per unit mass / Â£ million per thousand tonne 
0,1980,1.270985401459854
1,1981,1.485053037608486
2,1982,1.7553516819571866
3,1983,1.6091954022988506
4,1984,1.5891132572431959
5,1985,1.5602462620932278
6,1986,1.5704887218045114
7,1987,1.5297777777777777
8,1988,1.8709338929695698
9,1989,1.9756345177664976
10,1990,1.7734530938123751
11,1991,1.8035019455252919
12,1992,1.8365878725590956
13,1993,2.2567567567567566
14,1994,2.1562829989440337
15,1995,2.06187624750499
16,1996,1.7380281690140844
17,1997,1.663323782234957
18,1998,1.5151079136690648
19,1999,1.6863033873343152
20,2000,1.5539772727272727
21,2001,1.4806201550387597
22,2002,1.6512968299711817
23,2003,1.7453769559032717
24,2004,1.7665745856353592
25,2005,1.9163398692810458
26,2006,1.8321596244131455
27,2007,1.8277027027027026
28,2008,2.3914549653579678
29,2009,2.589307411907655
30,2010,2.4013377926421406
31,2011,2.7636949516648763
32,2012,3.1858608893956673
33,2013,3.4357142857142855
34,2014,2.9977037887485647
35,2015,3.1329545454545453
36,2016,3.0294759825327513
37,2017,3.3053097345132745
38,2018,3.277469478357381
39,2019,2.976008724100327
40,2020,3.16008537886873
41,2021,3.68021978021978
42,2022,4.049676025917926
43,2023,4.323008849557522
