Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,Rice
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,Rice
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,Rice
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,Rice
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,Rice
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,Rice
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,Rice
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,Rice
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,Rice
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,Rice
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,Rice