Round,Date,Team 1,FT,Team 2
1,Sat Aug 14 2010,Bolton Wanderers FC,0-0,Fulham FC
1,Sat Aug 14 2010,Wigan Athletic FC,0-4,Blackpool FC
1,Sat Aug 14 2010,Aston Villa FC,3-0,West Ham United FC
1,Sat Aug 14 2010,Wolverhampton Wanderers FC,2-1,Stoke City FC
1,Sat Aug 14 2010,Sunderland AFC,2-2,Birmingham City FC
1,Sat Aug 14 2010,Blackburn Rovers FC,1-0,Everton FC
1,Sat Aug 14 2010,Tottenham Hotspur FC,0-0,Manchester City FC
1,Sat Aug 14 2010,Chelsea FC,6-0,West Bromwich Albion FC
1,Sun Aug 15 2010,Liverpool FC,1-1,Arsenal FC
1,Mon Aug 16 2010,Manchester United FC,3-0,Newcastle United FC
2,Sat Aug 21 2010,West Ham United FC,1-3,Bolton Wanderers FC