,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
751,2010,1,4.5,-0.3,15.0,51.8,51.3,,2010-01-01,2.1
752,2010,2,6.9,1.7,8.0,100.4,46.7,,2010-02-01,4.3
753,2010,3,11.1,3.7,4.0,39.8,106.4,,2010-03-01,7.4
754,2010,4,15.8,5.6,0.0,23.2,201.7,,2010-04-01,10.7
755,2010,5,17.3,7.7,0.0,20.6,170.4,,2010-05-01,12.5
756,2010,6,23.5,12.1,0.0,12.4,220.1,,2010-06-01,17.8
757,2010,7,25.0,15.1,0.0,18.0,161.8,,2010-07-01,20.05
758,2010,8,21.6,13.2,0.0,88.6,110.9,,2010-08-01,17.4
759,2010,9,19.4,11.2,0.0,38.2,128.7,,2010-09-01,15.299999999999999
760,2010,10,15.2,8.3,1.0,74.8,104.0,,2010-10-01,11.75
761,2010,11,9.1,4.0,7.0,32.2,50.0,,2010-11-01,6.55
762,2010,12,3.9,-1.5,21.0,21.4,18.5,,2010-12-01,1.2